Number,SnapId,Distance,Bad Matches,Total Matches,Confidence,FaceId,Top,Bottom,Left,Right,UserEstimate
1,"5c389ba0152b4f2eea00a51d, 'New', 'New', 'New'",1.0695158243179321,0c9b16cc-e3dc-4288-b235-ed76e9011adc,195,407,343,555,3,,,
2,"5c389b5b152b4f2eea00a3e8, 'New', 'New', 'New'",1.0419840812683105,0b3416d0-8c1d-4390-b676-3be0003249e9,167,239,551,622,0,,,
3,"5c389b5b152b4f2eea00a3e8, 'New', 'New', 'New'",0.7620049715042114,e1894372-eb31-4f6b-ab9c-60a53d2c325b,244,347,783,885,0,,,
4,"5c389a2d152b4f2eea009d5c, 'New', 'New', 'New'",0.8616418838500977,c3d3a2bd-3972-492d-b4dd-ae2f3c7e052b,236,359,131,254,3,,,
5,"5c389970152b4f2eea00980b, 'New', 'New', 'New'",1.0725017786026,ad54b424-2e40-49d2-9306-2de9b220ec08,233,336,596,699,0,,,
6,"5c389885152b4f2eea009247, 'New', 'New', 'New'",1.0882693529129028,36d3218a-0b0f-4b75-8edd-a2195143f99d,161,284,293,416,0,,,
7,"5c389833152b4f2eea009035, 'New', 'New', 'New'",1.1021891832351685,c3e3cc49-cc9d-4f41-b935-10d690912899,214,361,323,471,4,,,
8,"5c38981e152b4f2eea00901c, 'New', 'New', 'New'",0.18407154083251953,c9b0dbb4-76b2-44a0-af06-1a3b92e81b84,350,527,393,570,5,,,
9,"5c3897f6152b4f2eea008f29, 'New', 'New', 'New'",1.0504573583602905,08e8fe65-7297-4e78-9769-4d15b631b00b,261,438,214,391,4,,,
10,"5c389782152b4f2eea008bad, 'New', 'New', 'New'",1.0706995725631714,c787a1b1-f753-455e-a1ca-0894c8f0c3d6,243,420,680,857,0,,,
11,"5c38975f152b4f2eea008aea, 'New', 'New', 'New'",1.0797346830368042,3d689647-b9f2-4af8-8f60-347293e7262e,225,402,196,373,0,,,
12,"5c3896ad152b4f2eea0086fe, 'New', 'New', 'New'",1.0712511539459229,1120101d-f212-4ac4-bde2-422e67250152,323,446,293,416,2,,,
13,"5c389696152b4f2eea00869c, 'New', 'New', 'New'",0.9135006666183472,13a8023d-90b0-43ea-b598-e41965eb19ad,184,331,353,501,0,,,
14,"5c389696152b4f2eea00869c, 'New', 'New', 'New'",0.18799257278442383,2c480b0b-d4f1-4188-9aaa-5cf0c7af8019,249,308,213,272,undefined,,,
15,"5c38967b152b4f2eea008608, 'New', 'New', 'New'",1.0823441743850708,ce3d84b8-ddd1-4c8c-9a37-30ced8690a6f,136,313,196,373,0,,,
16,"5c3895e6152b4f2eea008463, 'New', 'New', 'New'",1.060181736946106,d2e52f75-4790-4a1d-89ae-9bb7aa1ebd2f,261,438,286,463,0,,,
17,"5c3895df152b4f2eea00845c, 'New', 'New', 'New'",0.3075605630874634,0115e320-b740-4f91-973a-a68861ce6b0b,281,494,321,534,5,,,
18,"5c38951c152b4f2eea0082ff, 'New', 'New', 'New'",1.0626509189605713,6dcb0354-4a0e-4ea3-89e3-ad12d90fdb35,173,386,386,599,3,,,
19,5c3894b1152b4f2eea00815e,0.1449356973171234,0,1,0.7277863621711731,13a8023d-90b0-43ea-b598-e41965eb19ad,124,272,294,441,3
20,"5c38948f152b4f2eea008128, 'New', 'New', 'New'",1.0155895948410034,20795a38-dffe-4a17-ab62-7b58e07be3c6,303,451,323,471,4,,,
21,"5c389488152b4f2eea00810a, 'New', 'New', 'New'",0.569400429725647,fa08246f-7e1a-4454-a7a0-59d0e38222a6,243,420,71,248,0,,,
22,"5c389438152b4f2eea008036, 'New', 'New', 'New'",1.051528811454773,d93642ff-8bbc-477e-bdd7-94f0c0584ff5,318,466,130,277,2,,,
23,"5c3893cc152b4f2eea007e68, 'New', 'New', 'New'",0.8825854063034058,13ce3852-4e57-4a00-bb20-175d16725f9e,238,450,128,341,0,,,
24,"5c389321152b4f2eea007c5a, 'New', 'New', 'New'",0.9988852739334106,e6ca4bb1-9922-4191-95a1-ec653c3471b4,315,491,304,480,undefined,,,
25,"5c38931b152b4f2eea007c41, 'New', 'New', 'New'",1.0708304643630981,19726b5c-988c-46da-95ee-434283f7e82b,217,429,300,512,undefined,,,
26,"5c38931b152b4f2eea007c41, 'New', 'New', 'New'",1.0245451927185059,448b9b95-e502-4a3c-9859-39ef174eb86f,285,371,74,159,undefined,,,
27,"5c3892c3152b4f2eea007bad, 'New', 'New', 'New'",1.0664786100387573,2167c980-e578-4bc4-a0ed-f0644d91d268,184,331,204,352,undefined,,,
28,"5c3892ad152b4f2eea007b7e, 'New', 'New', 'New'",0.08460640907287598,7cef34aa-df6a-465a-bc42-ffb5570b282f,185,308,318,440,undefined,,,
29,"5c389270152b4f2eea007a90, 'New', 'New', 'New'",1.0587376356124878,d3c7c0c9-6ad3-43ca-9fa9-93d982a92133,243,420,178,355,undefined,,,
30,5c3891dc152b4f2eea0079c3,0.09994563460350037,0,1,1.0288640260696411,1120101d-f212-4ac4-bde2-422e67250152,348,495,234,382,undefined
31,"5c38915d152b4f2eea0078d0, 'New', 'New', 'New'",0.24694621562957764,864e68cf-ae2f-4fd1-ae70-a4b1b6f2b47e,378,525,368,516,undefined,,,
32,"5c38914b152b4f2eea007899, 'New', 'New', 'New'",0.8970382213592529,c9cdebac-4b94-4f6d-b3bf-bd919f47846d,302,515,257,470,undefined,,,
33,"5c3890dc152b4f2eea0077f6, 'New', 'New', 'New'",1.0530039072036743,2714c408-1d95-44ee-9b3d-490d0755e6ba,236,359,194,317,undefined,,,
34,"5c3890d0152b4f2eea0077e7, 'New', 'New', 'New'",1.0939526557922363,376a7759-ebee-4d06-a7db-285282330401,136,313,178,355,undefined,,,
35,"5c38909e152b4f2eea0077a9, 'New', 'New', 'New'",0.488897442817688,493d6f81-05c2-4d53-9a6d-36a9c0edb9f9,229,376,458,605,undefined,,,
36,5c38908a152b4f2eea00778a,0.1664968878030777,0,2,1.0584441423416138,376a7759-ebee-4d06-a7db-285282330401,203,305,347,450,undefined
37,5c38907c152b4f2eea00777b,0.16418546438217163,0,1,1.0340195894241333,c787a1b1-f753-455e-a1ca-0894c8f0c3d6,214,361,309,456,undefined
38,"5c389059152b4f2eea007752, 'New', 'New', 'New'",0.8985635042190552,b1d7e9b9-1947-4aab-accf-de7a2066888b,302,515,365,577,undefined,,,
39,"5c389006152b4f2eea007655, 'New', 'New', 'New'",1.0692461729049683,f1c2afe7-6967-4071-a942-4473403e3f0e,273,421,413,560,undefined,,,
40,"5c388fba152b4f2eea0075de, 'New', 'New', 'New'",0.9375902414321899,7c947a7f-de66-4f27-ab8c-578f89be47ed,109,257,503,650,undefined,,,
41,"5c388fae152b4f2eea0075d4, 'New', 'New', 'New'",1.0663750171661377,667a0ca9-c99b-4e4a-a2ce-81a085d72ab2,111,234,143,266,undefined,,,
42,"5c388f92152b4f2eea0075a1, 'New', 'New', 'New'",1.0677578449249268,a5029fe5-dd4b-47b5-b108-a456af193188,151,253,285,388,undefined,,,
43,"5c388f8d152b4f2eea007595, 'New', 'New', 'New'",1.019569754600525,d6f4d277-af05-4402-b7eb-900ea66454fb,338,440,285,388,undefined,,,
44,"5c388f79152b4f2eea00757b, 'New', 'New', 'New'",1.0222066640853882,466dd86a-d071-4070-b89c-c71a93d76918,100,277,107,284,undefined,,,
45,"5c388f5d152b4f2eea00753f, 'New', 'New', 'New'",0.9427944421768188,f4034f6a-4475-4c79-936f-fa4195eac2ab,302,515,343,555,undefined,,,
46,"5c388f2c152b4f2eea0074e4, 'New', 'New', 'New'",1.0444856882095337,9c09a193-43dc-4c16-bfdb-f252db9a0d32,94,242,219,367,undefined,,,
